,acc,f1_m,loss,mean_absolute_error,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_mean_absolute_error,val_precision_m,val_recall_m
0,0.2308315932750702,0.10621673613786697,2.802398542797839,0.052956096827983856,0.45187681913375854,0.06365741789340973,0.43322476744651794,0.2927305996417999,1.9752583658253704,0.04433973506093025,0.7346489429473877,0.18940331041812897
1,0.512856125831604,0.436837375164032,1.641653110148704,0.03846733272075653,0.7555769681930542,0.319460928440094,0.6105165481567383,0.5687761306762695,1.3355889022350311,0.032544299960136414,0.7866817712783813,0.45061734318733215
2,0.6345841884613037,0.610827624797821,1.200860799422053,0.030193736776709557,0.7968517541885376,0.5016703009605408,0.6268031597137451,0.6288509964942932,1.1934247033463583,0.028705425560474396,0.7912566661834717,0.5280349254608154
3,0.695853590965271,0.6834319233894348,0.9748089936891308,0.02559066005051136,0.8260689377784729,0.5880951881408691,0.7012563943862915,0.6881137490272522,0.9772242122778186,0.025016307830810547,0.8135653138160706,0.6006172299385071
4,0.7434561252593994,0.7384819984436035,0.8172807578814646,0.021883336827158928,0.8462576866149902,0.6596562266349792,0.7184737324714661,0.7069398164749146,0.9053541620572408,0.02340560406446457,0.8220334649085999,0.6247943639755249
5,0.7703266143798828,0.7634314894676208,0.7196894029458695,0.019698714837431908,0.8503574728965759,0.6961635947227478,0.6966030597686768,0.6926968097686768,0.9889976520229269,0.02333725616335869,0.7877978682518005,0.622942328453064
6,0.7939541339874268,0.7907153367996216,0.6468736134195096,0.01799595355987549,0.8623390197753906,0.7332504987716675,0.7533736824989319,0.7542352080345154,0.8072031912980256,0.019950956106185913,0.8273089528083801,0.6960904598236084
7,0.8179290890693665,0.8174479603767395,0.5697617176605204,0.016036424785852432,0.8792151212692261,0.7666335105895996,0.7752442955970764,0.7777873873710632,0.7370975769504353,0.017809800803661346,0.8344086408615112,0.7308128476142883
8,0.8307852745056152,0.8297226428985596,0.514450570168472,0.014764713123440742,0.8797263503074646,0.787185788154602,0.797114908695221,0.8012906312942505,0.6654528989284126,0.016795458272099495,0.8621178269386292,0.7511830925941467
9,0.8451470732688904,0.8461819291114807,0.45444787923097335,0.013392409309744835,0.8877245783805847,0.8103341460227966,0.797114908695221,0.8032707571983337,0.6788128786892803,0.016317244619131088,0.8574196100234985,0.7576646208763123
10,0.860088050365448,0.8619438409805298,0.4117605994177867,0.012192103080451488,0.8970862627029419,0.8313159942626953,0.7980455756187439,0.800812840461731,0.6691144695160566,0.0158266332000494,0.8433570861816406,0.764711856842041
11,0.8721334338188171,0.8741057515144348,0.36711015277006076,0.01116314809769392,0.9061246514320374,0.8459160923957825,0.7873429656028748,0.788135290145874,0.7117712350769175,0.015362279489636421,0.8161290287971497,0.7635803818702698
12,0.8812832832336426,0.8803603053092957,0.34819126839518466,0.01051355805248022,0.9085158705711365,0.8551095128059387,0.8013029098510742,0.8059006333351135,0.7213607429768201,0.014792803674936295,0.8387980461120605,0.7774689197540283
13,0.8919388651847839,0.8899583220481873,0.3226557297268371,0.009654244408011436,0.912564754486084,0.8695099949836731,0.8101442456245422,0.8122596144676208,0.6462865989241335,0.01450370717793703,0.8475211262702942,0.7816359996795654
14,0.9003937840461731,0.9010143280029297,0.28973733442443955,0.008903472684323788,0.9224207997322083,0.8814980387687683,0.7798976302146912,0.7864365577697754,0.7976826512841163,0.015162917785346508,0.8131096959114075,0.7626542448997498
15,0.9054899215698242,0.9052305817604065,0.28251891174992877,0.008587652817368507,0.9234391450881958,0.8886569738388062,0.7789669632911682,0.786774754524231,0.7244115801597083,0.015046227723360062,0.8155189156532288,0.7614713311195374
16,0.9179986119270325,0.9186607003211975,0.22850366299836025,0.0072204554453492165,0.9329724907875061,0.9054564237594604,0.773848295211792,0.7780148386955261,0.8186498347807813,0.01576230861246586,0.8021993041038513,0.7562757134437561
17,0.9208941459655762,0.9212535619735718,0.22844655507429484,0.007109966594725847,0.9353339672088623,0.9082179665565491,0.7864122986793518,0.7924391627311707,0.7504235028668687,0.01422945037484169,0.8161787390708923,0.7710904479026794
18,0.9230947494506836,0.9238347411155701,0.22040623740200535,0.0068384273909032345,0.935811460018158,0.9127315878868103,0.7989762425422668,0.8020184636116028,0.7695044196314282,0.01363544724881649,0.82209312915802,0.7839505672454834
19,0.9309706091880798,0.9300903677940369,0.20927776169452109,0.006349970120936632,0.9419555068016052,0.919180154800415,0.8087482452392578,0.8175360560417175,0.6909647617075179,0.01312226988375187,0.8365616202354431,0.8002572059631348
20,0.9277275800704956,0.9283686280250549,0.19967292137884116,0.006261796690523624,0.9392561316490173,0.9183531403541565,0.8022335767745972,0.8044626712799072,0.7704167527457079,0.014023535884916782,0.8258472084999084,0.7849792838096619
21,0.938383162021637,0.938785195350647,0.17409954151604218,0.005570731591433287,0.9467789530754089,0.9313166737556458,0.8115402460098267,0.8158758878707886,0.7870643937753307,0.012573899701237679,0.8317609429359436,0.8015429377555847
22,0.9445216655731201,0.9442223310470581,0.15874351028865127,0.005117035936564207,0.9516284465789795,0.937285304069519,0.7985109090805054,0.7997506260871887,0.9048438984210845,0.013145540840923786,0.811265230178833,0.7890429496765137
23,0.9402362704277039,0.9407618045806885,0.17300391650223879,0.005195134319365025,0.9487529397010803,0.9333335161209106,0.8045602440834045,0.8077514171600342,0.8498621151817066,0.013094736263155937,0.8230816721916199,0.7937757968902588
24,0.9437109231948853,0.9435921907424927,0.17341067480669375,0.005011364351958036,0.9493852257728577,0.9381948113441467,0.7854816317558289,0.7883909940719604,0.8974441786607107,0.014955833554267883,0.8098095655441284,0.7688785195350647
