,acc,f1_m,loss,mean_absolute_error,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_mean_absolute_error,val_precision_m,val_recall_m
0,0.3504464328289032,0.028479093685746193,1.3341219020741326,0.3638463318347931,0.06666667014360428,0.018888888880610466,0.65625,0.3275891840457916,1.1358741621176403,0.3269139230251312,1.0,0.20416665077209473
1,0.6662946343421936,0.5964130759239197,0.857261982347284,0.24306157231330872,0.8014618158340454,0.49888885021209717,0.7142857313156128,0.65811687707901,0.7405430103341738,0.22178925573825836,0.7660836577415466,0.5791666507720947
2,0.7700892686843872,0.7444517612457275,0.5976602239534259,0.17620019614696503,0.8233832716941833,0.683888852596283,0.7991071343421936,0.7812046408653259,0.48705099026362103,0.1458587795495987,0.8195906281471252,0.75
3,0.7912946343421936,0.7864096164703369,0.5235785748144346,0.14941440522670746,0.8478594422340393,0.7369444370269775,0.8080357313156128,0.7927362322807312,0.5370872020721436,0.15721586346626282,0.8121746182441711,0.7750000357627869
4,0.8080357313156128,0.8004864454269409,0.5032074100870106,0.14208780229091644,0.833410382270813,0.7716668248176575,0.7633928656578064,0.7770194411277771,0.5831261488298575,0.15221188962459564,0.7992202639579773,0.7583332657814026
5,0.7979910969734192,0.7870069146156311,0.5298410247612212,0.1464720517396927,0.8254041075706482,0.7533332705497742,0.7991071343421936,0.7961048483848572,0.5222372704495987,0.15542617440223694,0.8298507332801819,0.7666666507720947
6,0.8125,0.7989752292633057,0.4946641717438719,0.13595229387283325,0.83050936460495,0.7716665267944336,0.7991071343421936,0.8172486424446106,0.42869092151522636,0.13348260521888733,0.8571752905845642,0.7833333611488342
7,0.8002232313156128,0.7903282046318054,0.5182223699188658,0.14604537189006805,0.823119044303894,0.7616665363311768,0.7946428656578064,0.8093293309211731,0.4269220220545928,0.1295272707939148,0.8491342663764954,0.7749999165534973
8,0.8426339030265808,0.8341761827468872,0.42908746197021436,0.12300878018140793,0.8581006526947021,0.8127776980400085,0.8258928656578064,0.8179044723510742,0.4133049361407757,0.11700509488582611,0.8425309658050537,0.7958332896232605
9,0.859375,0.849787712097168,0.3805317517170416,0.10933233797550201,0.8708521723747253,0.8305556178092957,0.8571428656578064,0.8657500743865967,0.35554784163832664,0.10794519633054733,0.8875487446784973,0.8458333015441895
10,0.8805803656578064,0.8755949139595032,0.3185485570824572,0.09601955860853195,0.8897450566291809,0.8624998927116394,0.8616071343421936,0.8583107590675354,0.3445547043035428,0.09575903415679932,0.8716375231742859,0.8458333611488342
11,0.8482142686843872,0.8491750359535217,0.3636635539920202,0.10268335789442062,0.8639203310012817,0.8361110091209412,0.8258928656578064,0.8219353556632996,0.4340405960877736,0.11317581683397293,0.8455896377563477,0.800000011920929
12,0.8872767686843872,0.8825184106826782,0.3008501362388155,0.09044978767633438,0.8955280780792236,0.8705554604530334,0.875,0.8730893731117249,0.29303888728221256,0.08629079163074493,0.9008040428161621,0.8499999642372131
13,0.8973214030265808,0.8948603272438049,0.2575626878367205,0.07753108441829681,0.9032474756240845,0.8869444727897644,0.875,0.8816239237785339,0.24945872773726782,0.08250899612903595,0.8929824829101562,0.8708333373069763
14,0.8850446343421936,0.883677065372467,0.2744568049175931,0.08244294673204422,0.8984785079956055,0.8700001239776611,0.8973214030265808,0.9043634533882141,0.23834200700124106,0.07533963769674301,0.9179337620735168,0.8916667103767395
15,0.9196428656578064,0.9193111658096313,0.229560693626159,0.07067326456308365,0.9288079142570496,0.9105557799339294,0.8705357313156128,0.8840473294258118,0.2735202144831419,0.07566787302494049,0.8939814567565918,0.8749999403953552
16,0.9129464030265808,0.9108547568321228,0.21602250028601183,0.06722410023212433,0.9187721014022827,0.9033334255218506,0.8660714030265808,0.8696580529212952,0.3529078179659943,0.08438272029161453,0.8771929740905762,0.8624999523162842
17,0.9017857313156128,0.8995322585105896,0.23264775413138392,0.06844983249902725,0.9073944687843323,0.8922222852706909,0.9017857313156128,0.8990383744239807,0.22786197687188783,0.0730285495519638,0.9067983627319336,0.8916667103767395
18,0.9397321343421936,0.9418112635612488,0.169886839542804,0.05594432353973389,0.9511501789093018,0.9330555200576782,0.8883928656578064,0.8974303603172302,0.20588164729997516,0.061250410974025726,0.9037280678749084,0.8916667103767395
19,0.9520089030265808,0.9531040787696838,0.13914256554146828,0.04384223744273186,0.9576024413108826,0.9488890767097473,0.8973214030265808,0.8986807465553284,0.297362989144555,0.07169236242771149,0.9113791584968567,0.887499988079071
20,0.9486607313156128,0.948485255241394,0.14867651223071984,0.04606759920716286,0.9543682336807251,0.9430556297302246,0.9017857313156128,0.911858856678009,0.21517244210311523,0.0583440363407135,0.915570080280304,0.9083333015441895
21,0.9029017686843872,0.9003152847290039,0.24097094325614826,0.06880952417850494,0.91206955909729,0.8900001645088196,0.8883928656578064,0.895833432674408,0.26955351419746876,0.0710945576429367,0.895833432674408,0.895833432674408
22,0.9430803656578064,0.9448149800300598,0.14744911918283574,0.04357289895415306,0.9487136006355286,0.9411114454269409,0.9241071343421936,0.9245726466178894,0.19077591450574496,0.06006132811307907,0.9285087585449219,0.9208333492279053
